cytoband	9p21.3	9p23	4q34.3	9q21.11	15q15.1	22q13.32	13q12.11	1p12	19p13.3	21q11.2	1p13.3	11q25	13q34	16q24.1	1p36.11	18q23	18q21.1	2q22.1	8p23.2	10q26.3	5q11.2	6q26	16p13.3	3p12.3	16q23.1	5q35.3	13q14.2	15q11.2	14q32.13	17p13.3	5q31.1	11q12.1	11p15.5	8p21.3	10p15.3	13q31.1	9q34.3	3q11.2	19p12	4p16.3	6q14.3	12p13.2	19p13.2	22q11.21	2q37.2	20p12.1	3p11.1	12q12	11q23.2	11p15.4	17p11.2	9q22.31	
																												C15orf52			SREK1	ALKBH3-AS1	FAM160A2								QRSL1				LOC101927196		ANAPC13			OR51I1		C9orf135	
																												TNFAIP8L3			DCANP1	LOC100507384	RNASEH2C								VNN3				LINC01473		ARMC8			OR51I2		PTRH1	
																												C2CD4B			MGC32805	LRP4-AS1	FAR1								TMEM63B				LINC01237		ABHD14A			OR52D1		PIP5KL1	
																												C15orf59			SLC36A2	TMX2-CTNND1	BTBD10								DDX43				LOC101927406		NEPRO			OR52H1		TAF1L	
																												GOLGA8EP			SPINK13	ARL2-SNX15	NUDT22								FAM46A				LOC101927431		POC1A			OR52N4		PTPDC1	
																												OR4M2			CEP120	HNRNPUL2-BSCL2	ARFGAP2								TBC1D22B				LOC101927482		ABI3BP			OR52N5		ANKRD19P	
																												OR4N3P			SLC25A48	MIR4487	SYVN1								TMEM30A				ANKRD44-IT1		CNOT10			OR52N2		ARID3C	
																												HERC2P10			TMEM167A	MIR4489	ACCS								SAYSD1				LOC101927596		TMEM158			OR52E6		RPP25L	
																												KBTBD13			MBLAC2	MIR4690	MS4A14								LMBRD1				LOC101927619		NDUFAF3			OR52E8		C9orf131	
																												UBAP1L			TMEM161B	MIR3973	TRIM51								TRERF1				LOC101927641		THUMPD3			OR52E4		OR13C5	
																												SKOR1			SRFBP1	MIR4688	PTPN5								ECHDC1				LOC101927795		MYRIP			OR56A3		OR13C8	
																												ANKRD34C			JAKMIP2-AS1	MIR1343	MICALCL								APOM				LOC101927865		PTPN23			OR56A5		OR13C3	
																												ADAMTS7P1			ZMAT2	MIR4488	LGALS12								BTNL2				LOC101927960		WWTR1			OR10A6		OR13C4	
																												SHC4			MARVELD2	MIR5582	TRIM5								KCNQ5				LOC101928020		NECTIN3			ACCSL		OR13F1	
																												CTXN2			ARSK	LOC100996455	SNORD14B								TRIM39				LOC101928103		TIPARP			OR4X1		OR1L8	
																												HERC2P2			FAM81B	LOC101927120	TNKS1BP1								RARS2				LOC101928111		CHMP2B			OR5D13		OR1N2	
																												C15orf53			CCDC112	LOC101927204	NAV2								HYMAI				LINC01280		DNAH1			OR5D16		OR1N1	
																												C15orf54			PPP1R2P3	LOC101927495	SYT8								PDSS2				LOC101928327		HIGD1A			OR5W2		DBH-AS1	
																												ST20			FAM71B	OVOL1-AS1	TSPAN18								GOPC				CATIP-AS1		LRIG1			OR8H2		ASB6	
																												DUOXA2			PRELID2	FBXO3-AS1	CREB3L1								SMIM8				LINC01494		SUSD5			OR8H3		TRPM6	
																												MIR184			SH3RF2	LOC101928510	AP5B1								VARS2				LOC101928881		UBXN7			OR5T3		RNF38	
																												MIR190A			PLAC8L1	LINC01493	CCDC34								ADGRG6				MIR6513		ERC2			OR5T1		GLIPR2	
																												MIR211			RNF145	LOC101928591	SLC39A13								ARFGEF3				MIR6809		APPL1			OR8K1		DAB2IP	
																												LINC00593			PAPD4	LOC101928812	DEPDC7								NHSL1				MIR6811		HACL1			OR5M9		LINC00032	
																												NF1P2			DCP2	LOC101928894	GLYATL1								LYRM2				MIR7845		ARHGEF26			OR5M10		LINGO2	
																												GOLGA6L22			LIX1	LOC101928943	PRKCDBP								SNX14				MIR6810		ZBTB20			OR5M1		NXNL2	
																												HERC2P9			ZNF366	C11orf98	CDCA5								PLEKHG1				LOC102723927		TTLL3			OR9G1		AK8	
																												WHAMMP2			FAM151B	MIR6128	RPLP0P2								LRFN2				LOC102724714		OR5K1			OR5AK2		OR1Q1	
																												GOLGA8B			S100Z	MIR6503	SAAL1								AARS2				LANCL1-AS1		OR5H1			NAV2-AS4		TTLL11	
																												EIF2AK4			ADAMTS19	MIR6514	ODF3								XPO5				LOC102724849		GNL3			HNRNPKP3		RASEF	
																												CATSPER2P1			SPATA24	MIR6746	SLC22A9								SERINC1				LOC102725079		FAM162A			LOC399886		FAM201A	
																												UNC13C			DNAJC18	MIR6747	OSBPL5								HACE1				MIR9500		PCOLCE2			FAM180B		TRMT10B	
																												UBL7-AS1			CCDC125	MIR6748	C1QTNF4								FAM135A				CATIP-AS2		RNU6-1			OR51T1		TTC16	
																												GOLGA6L9			LINC01554	MIR6751	PTPMT1								ZBTB2				LINC01090		SEC22A			OR51A4		MIRLET7DHG	
																												MIR422A			CMYA5	MIR7154	LRRC56								BEND3				LOC105373782		GPR160			OR51A2		FAM120AOS	
																												LINC00929			STK32A	MIR6750	BATF2								KIAA1586				LOC105373805		FETUB			IFITM10		LINC00475	
																												CKMT1A			LVRN	MIR6745	SLC22A12								CPNE5				LINC01614		NPHP3			OR4A47		LINC00961	
																												CPLX3			SLC36A1	MIR6749	MRGPRE								LSM2				LOC105373876		ATP2C1			OR4C45		ATP8B5P	
																												SNORD16			LOC255187	MIR6879	ART5								C6orf47				DIRC3-AS1		LAMP3			MIR129-2		ZNF483	
																												SNORD18A			ANKRD31	MIR7155	MRGPRX2								LY6G5B				LOC105373878		FOXP1			MIR210		C9orf84	
																												SNORD18B			SERINC5	MIR8068	MRGPRX3								ABRACL				LOC105747689		KCNMB3			KRTAP5-5		KIAA1958	
																												SNORD18C			KIAA0825	LINC01499	MRGPRX4								RRAGD				LINC01173		ZBTB11			KRTAP5-2		TSTD2	
																												SERINC4			GPR150	PAUPAR	HRASLS5								LY6G6D				SNORA105A		MORC1			KRTAP5-6		ZNF782	
																												GOLGA6L17P			DTWD2	LOC103312105	TRIM6								ENPP5				AOX3P-AOX2P		SERP1			TMEM41B		LOC158434	
																												C15orf62			RELL2	LOC105369332	OR52E2								PRDM13						CNTN6			LOC440028		LOC158435	
																												GOLGA8N			NBPF22P	LOC105369340	OR52J3								PBOV1						LSM3			DKFZp686K1684		PRUNE2	
																												C15orf56			LOC285626	MIR194-2HG	OR51L1								BACH2						RBMS3			LOC440040		STKLD1	
																												PHGR1			LOC285627	LOC105376633	OR51A7								ELOVL5						GOLIM4			TRIM51HP		OLFML2A	
																												EIF3J-AS1			LOC285629	LINC01616	OR51S1								TRMT11						NKIRAS1			LOC441601		TMEM252	
																												LOC645752			SLC36A3	SNORA88	OR51F2								SMAP1						SPCS1			TRIM6-TRIM34		ZNF883	
																												CHEK2P2			KIF4B	KCNK4-TEX40	OR52R1								ZFAND3						ACAD9			CCDC73		ZNF169	
																												LOC646214			RGMB		C11orf74								LINC01590						ASTE1			TMEM9B-AS1		AAED1	
																												CXADRP2			LINC00491		OR4C46								GPSM3						KLF15			LOC494141		ZNF367	
																												PDCD6IPP2			RFESD		OR4X2								FKBPL						SETD2			BDNF-AS		TMEM268	
																												IGHV1OR15-3			CHSY3		OR4B1								PERP						GTPBP8			OR8U8		C9orf72	
																												REREP3			TMEM173		OR52M1								POPDC3						TAGLN3			MIR483		NAIF1	
																												SH2D7			FAM170A		OR52K2								ZSCAN31						PRSS50			SNORA3A		FAM219A	
																												LOC646938			C5orf66-AS2		OR5P2								ALDH8A1						RBM15B			SNORA52		CCDC107	
																												GOLGA6L10			LOC340074		OR5P3								C6orf106						GPR171			LOC644656		ANKS6	
																												GOLGA8S			ARSI		LARGE2								MICAL1						GMPPB			RASSF10		SUSD3	
																												GOLGA8J			LOC340090		CYP2R1								MRPL14						SEC61A1			TRIM64C		CBWD5	
																												GOLGA8T			ANKRD34B		DBX1								DLK2						LINC00312			LOC646813		CDC26	
																												GOLGA8K			IRGM		DNAJC24								LY6G6E						SCHIP1			TSSC2		PSMD5-AS1	
																												GOLGA6C			FAM174A		ARL14EP								ULBP3						LMCD1			SNORA23		ANKRD18A	
																												GOLGA6D			MTX3		OR8I2								OR2A4						PIK3R4			SNORA3B		PHYHD1	
																												GOLGA8M			CATSPER3		OR2D3								ARMT1						PODXL2			SNORA54		MORN5	
																												HSP90AB4P			NIPAL4		OR2D2								OGFRL1						ARHGEF3			SNORD67		OR1L4	
																												SCARNA14			SLCO4C1		OR52W1								FAM184A						TRAT1			SNORD97		TXNDC8	
																												FBXO22-AS1			TICAM2		OR56A4								MANEA						VILL			MIR610		HMCN2	
																												MIR549A			DND1		OR56A1								ADGB						IMPG2			INS-IGF2		MAMDC2	
																												MIR626			MAST4		SYT9								TREML2						SSUH2			MUC5B		FRMD3	
																												MIR627			SAP30L-AS1		LDLRAD3								RPP21						NMD3			ZBED5-AS1		C9orf43	
																												MIR628			TEX43		OR52B4								LINC00472						TRNT1			SEC14L1P1		FAM205A	
																												MIR629			LOC389332		C11orf40								ATAT1						ABHD5			MIR675		LINC00094	
																												MIR630			PROB1		OR52I2								LCAL1						COMMD2			LOC100126784		CRB2	
																												MIR631			C5orf46		OR51E1								CCDC170						DYNC1LI1			MRVI1-AS1		SCAI	
																												ANP32AP1			ARHGEF37		UBQLNL								MYCT1						A4GNT			CAND1.11		CFAP157	
																												LOC727751			C5orf63		MUC15								ZKSCAN3						C3orf18			C11orf91		C9orf47	
																												GOLGA6L6			SPINK6		LOC143666								ULBP2						DBR1			FAM99B		SPATA31E1	
																												LOC727924			ANKHD1-EIF4EBP3		C11orf94								ULBP1						CRBN			LINC01001		LOC286238	
																												GOLGA8O			MIR143		C11orf84								ZSCAN16						SS18L2			MRPL23-AS1		LOC286297	
																												GOLGA6L7P			MIR145		PLEKHA7								RNF39						ZNF639			MIR302E		TUSC1	
																												GOLGA8H			MIR146A		SPTY2D1								SLC44A4						CLDN18			MIR670		FAM225A	
																												PIN4P1			MIR9-2		TMEM86A								VWA7						CCDC174			MIR3160-2		FAM78A	
																												OIP5-AS1			SPINK14		OR10A5								C6orf25						SHISA5			MIR3160-1		LOC286359	
																												LOC729739			FNDC9		OR2AG1								LY6G6C						TIMMDC1			MIR3161		OR13C9	
																												GOLGA8CP			LOC441081		DNHD1								LY6G5C						ZDHHC3			MIR3159		OR13D1	
																												ANKRD34C-AS1			LOC441086		SCGB1C1								PRR3						RSRC1			MIR4298		MIR4290HG	
																												PWRN1			CRSP8P		SLC5A12								KHDC1						ZMYND10			MIR4299		FOXD4L3	
																												PWRN2			NR2F1-AS1		LDHAL6A								ZNRD1ASP						PLA1A			MTRNR2L8		GAS2L1P2	
																												SNORD116-1			C5orf56		C11orf42								PRRT1						TEX264			CCDC179		LOC340512	
																												SNORD116-2			IGIP		GPHA2								EGFL8						TMA7			LOC100506082		LINC01501	
																												SNORD116-3			MIR378A		NLRP6								HCG4B						ZNF589			MIR210HG		SPATA31D5P	
																												SNORD116-4			TIFAB		LOC171391								GPR63						HEMK1			LOC100506258		QRFP	
																												SNORD116-5			RGMB-AS1		METTL15								COL21A1						AMOTL2			LINC00958		OR1J1	
																												SNORD116-8			LOC553103		IMMP1L								OR5V1						IP6K2			SPTY2D1-AS1		OR1B1	
																												SNORD116-10			CTXN3		OR56B4								OR2B2						SFMBT1			DCDC5		KIF24	
																												SNORD116-11			ECSCR		ANO5								PPP1R14C						NCKIPSD			LOC100506675		IGFBPL1	
																												SNORD116-12			TMEM232		OR8U1								OR12D3						PHF7			LOC100507144		MURC	
																												SNORD116-13			GRXCR2		OR4C16								SPACA1						ACKR4			LOC100507205		FOXD4L4	
																												SNORD116-14			SPINK9		OR4C11								RNF146						PEX5L			MIR670HG		ENHO	
																												SNORD116-15			ARL14EPL		OR4S2								SF3B5						RAB6B			ALKBH3-AS1		AQP7P1	
																												SNORD116-16			LOC644285		OR4C6								TAAR8						SELT			LOC100507384		PTAR1	
																												SNORD116-17			LOC644762		OR5D14								SH3BGRL2						FBXO40			LRP4-AS1		ERCC6L2	
																												SNORD116-18			LINC01184		OR5L1								TFAP2D						DNAJB11			SAA2-SAA4		SWI5	
																												SNORD116-20			LOC644936		OR5D18								KCNK16						GHRL			MIR4486		C9orf50	
																												SNORD116-21			CCNI2		OR7E5P								ARMC2						P2RY13			MIR4686		FGF7P6	
																												SNORD116-22			LINC00461		OR5AS1								FBXO30						IL20RB			MIR4487		FAM205BP	
																												SNORD116-23			LOC647859		OR8K5								RPF2						GPR87			MIR4485		SPATA31A6	
																												SNORD116-24			GUSBP3		OR5T2								UQCC2						TLR9			MIR3973		GLIDR	
																												SNORD116-25			GTF2H2B		OR8H1								L3MBTL3						DCUN1D1			MIR4688		SPATA31D4	
																												SNORD115-2			SNORA13		OR8K3								MCHR2						SEMA5B			MIR4694		SPATA31D3	
																												SNORD116-26			SCARNA18		OR8J1								PGBD1						XRN1			MIR1343		SPATA31D1	
																												SNORD116-27			SNORA47		OR5R1								FAXC						WDR5B			MIR4687		LOC389765	
																												SNORD115-3			MIR583		OR5M3								TTBK1						LZTFL1			MIR5691		C9orf153	
																												SNORD115-4			MIR584		OR5M8								GJA10						PARP14			MIR5582		PTGES2-AS1	
																												SNORD115-5			SNHG4		OR5M11								RTN4IP1						P4HTM			NAV2-AS5		IER5L	
																												SNORD115-6			CARMN		OR5AR1								RSPO3						SLC6A20			NAV2-AS2		CFAP77	
																												SNORD115-7			GTF2H2C		OR5AK4P								LRP11						IL17RD			LINC00678		TMEM8C	
																												SNORD115-8			LINC00992		LRRC55								LTV1						GRAMD1C			LOC101927120		FAM221B	
																												SNORD115-10			SERF1B		SMTNL1								USP45						ROPN1			PANO1		OR13J1	
																												SNORD115-11			CCDC192		YPEL4								REPS1						KLHL24			LOC101927503		CTSL3P	
																												SNORD115-12			MEIKIN		MED19								PPIL4						SIDT1			LINC01150		LOC392364	
																												SNORD115-13			ZBED3-AS1		OR6Q1								PAQR8						ELP6			CD81-AS1		OR13C2	
																												SNORD115-14			SCAMP1-AS1		OR9I1								SLC22A16						SNRK			LOC101927708		OR1L6	
																												SNORD115-15			ANKDD1B		OR9Q1								RRP36						QRICH1			OLFM5P		OR5C1	
																												SNORD115-16			LOC729080		OR9Q2								LINC01621						PXK			TUB-AS1		OR1K1	
																												SNORD115-17			GTF2H2C_2		OR1S2								KCNK17						CMTM6			LOC101928008		FAM102A	
																												SNORD115-18			LOC731157		OR1S1								ABCC10						TRMT10C			LOC101928053		LINC01242	
																												SNORD115-20			GUSBP9		OR10Q1								TRIM15						SLC41A3			LOC101928132		TMEM215	
																												SNORD115-21			VTRNA2-1		OR5B17								KLC4						PIGX			FBXO3-AS1		TOMM5	
																												SNORD115-22			MIR874		OR5B21								UBE3D						SLC25A38			LOC101928510		FAM74A1	
																												SNORD115-23			KIAA1024L		GLYATL2								MLIP						ULK4			LINC01493		FAM74A4	
																												SNORD115-25			ARRDC3-AS1		MPEG1								MFSD4B						OXSM			LOC101928591		ZNF658B	
																												SNORD115-26			LOC100130172		OR5A2								TJAP1						SLC35A5			LOC101928812		C9orf170	
																												SNORD115-29			CKMT2-AS1		OR5A1								ARHGAP18						TMEM45A			LOC101928894		CENPP	
																												SNORD115-30			LOC100133050		OR4D6								GTF3C6						FEZF2			LOC101928943		C9orf152	
																												SNORD115-31			C5orf52		OR4D11								MRAP2						IFT57			MIR6073		SNX30	
																												SNORD115-32			LOC100289230		PATL1								RWDD2A						EBLN2			MIR6128		WDR38	
																												SNORD115-33			LOC100289673		OOSP2								IL17F						ANO10			MIR6743		LOC401554	
																												SNORD115-34			MIR1289-2		MS4A15								MTFR2						DALRD3			MIR7154		LOC403323	
																												SNORD115-35			MIR548F3		VWCE								EFHC1						SHQ1			MIR8054		ZBTB34	
																												SNORD115-36			MIR1294		CYB561A3								BTBD9						MSL2			MIR8070		MIRLET7A1	
																												SNORD115-37			MIR1303		PPP1R32								KLHL32						TBCCD1			MIR8087		MIRLET7D	
																												SNORD115-38			MIR1244-1		TIGD3								TMEM200A						FAIM			MIR7847		MIRLET7F1	
																												SNORD115-39			MIR548P		LRRN4CL								ZBED9						SLC25A36			MIR6744		MIR147A	
																												SNORD115-41			TMED7-TICAM2		HNRNPUL2								MB21D1						PBRM1			MIR6745		MIR181A2	
																												SNORD115-44			NCRUPAR		ALKBH3								FOXP4						ARL8B			MIR8068		MIR181B2	
																												SNORD116-28			LOC100303749		LOC221122								KLHDC3						SETD5			MIR6124		MIR199B	
																												SNORD116-29			MIR2277		MS4A6E								NUS1						DPPA4			LOC102723330		MIR204	
																												SNORD115-48			MIR1244-3		SSSCA1-AS1								GINM1						P3H2			LINC01495		MIR219A2	
																												SNORD115-24			MIR1244-2		EHBP1L1								SLC26A8						TMEM39A			LINC01499		MIR23B	
																												SNORD115-27			MIR4280		SNX32								IL22RA2						ZNF654			LOC102724784		MIR24-1	
																												SNORD115-28			MIR3142		TOLLIP-AS1								MAS1L						TMEM40			LOC102724957		MIR27B	
																												SNORD115-45			MIR3141		OOSP1								SLC18B1						ABCF3			PAUPAR		MIR32	
																												SNORD115-47			MTRNR2L2		OR52B2								SLC16A10						LSG1			LOC103312105		MIR7-1	
																												MIR147B			MIR3607		OR4C3								IP6K3						ABHD10			HOTS		COL5A1-AS1	
																												DNM1P35			MIR3655		OR4S1								RN7SK						CHDH			BGLT3		C9orf106	
																												LOC100128714			MIR3660		LMNTD2								TAF8						PARL			CASC23		LINC00587	
																												GABPB1-AS1			MIR3936		EML3								ADAT2						IL17RB			BBOX1-AS1		IDNK	
																												LOC100129973			MIR3661		OR51F1								RIPPLY2						CDV3			LINC01219		CNTFR-AS1	
																												LOC100130111			LINC01024		SVIP								IRAK1BP1						MFN1			LOC105376554		LOC440173	
																												USP3-AS1			LOC100505658		MRGPRX1								CLVS2						YEATS2			LOC105376575		LOC440896	
																												SRP14-AS1			STARD4-AS1		C11orf31								TAAR9						IFT122			LOC105376599		LINC01239	
																												ANKRD63			HNCAT21		OR51B5								TAAR1						NGLY1			LOC105376633		SUGT1P1	
																												LOC100131315			LOC100505841		OR10AG1								STXBP5						TBC1D23			LOC105376671		ANKRD20A3	
																												HERC2P7			LOC100505878		OR5J2								NCOA7						CFAP44			LINC01616		ANKRD20A2	
																												GOLGA8F			TMEM161B-AS1		OR4C13								HINT3						CACNA2D3			SNORA88		AQP7P3	
																												DCAF13P3			LUCAT1		OR4C12								B3GAT2						DCP1A			SNORD131		SPATA31C1	
																												GOLGA8DP			OCLN		KRT8P41								SDHAF4						GLT8D1					LOC441454	
																												UBE2Q2P2			MIR4804		SBF2-AS1								CD109						EMC3					LOC441455	
																												JMJD7			MIR4633		CSNK2A3								RAET1E						EAF2					NUTM2G	
																												PLA2G4B			MIR4461		OR51V1								PM20D2						BRK1					ANKRD18B	
																												POTEB2			MIR4454		TRIM49B								SRSF12						ZKSCAN7					STX17-AS1	
																												ADPGK-AS1			MIR3977		H19								C6orf141						MYNN					PTGER4P2-CDK2AP2P2	
																												LOXL1-AS1			MIR378H		MAJIN								TRIM40						LMOD3					FOXB2	
																												WHAMMP1			MIR4460		SLC25A45								DPCR1						EIF5A2					CBWD3	
																												LOC100288637			MIR4803		NEAT1								LOC153910						CLDND1					C9orf129	
																												LOC100289656			SPRY4-IT1		OR9G4								ZC2HC1B						MUC13					PALM2-AKAP2	
																												MIR1233-1			LOC100652758		LOC283194								RAET1L						SUCNR1					PAPPA-AS1	
																												MIR1272			LINC01023		LINC00301								SAMD3						RAD18					LOC494127	
																												MIR1266			MIR5197		CRACR2B								LINC01312						SEMA3G					C9orf135-AS1	
																												MIR1268A			MIR5692C1		TMEM80								SLC2A12						MCCC1					DNAJC25	
																												MIR1282			MIR5706		CCDC88B								LINC01010						LXN					DNAJC25-GNG10	
																												NDUFAF4P1			LINC00492		TTC9C								RNF217						HMCES					LOC554249	
																												MIR2116			P4HA2-AS1		SLC22A24								NKAIN2						MRPS22					PGM5-AS1	
																												LOC100419583			NREP-AS1		RCOR2								KHDC3L						NIT2					PGM5P2	
																												LOC100422556			ARHGAP26-AS1		HARBI1								CFAP206						POGLUT1					MIR455	
																												MIR3118-3			PPP2R2B-IT1		LINC00294								BVES-AS1						BBX					NRON	
																												MIR1233-2			ARHGAP26-IT1		IGSF22								CCDC167						KIF15					FRG1JP	
																												MIR4311			C5orf66		OR10A4								PRSS35						ADAMTS9					LOC642929	
																												MIR3118-4			LOC101926905		OLFML1								LCA5						CCNL1					LOC642943	
																												MIR3118-2			LOC101926941		LOC283299								OLIG3						PLSCR2					FAM163B	
																												MIR4312			LOC101926975		MRGPRG-AS1								TXLNB						PCBP4					LINC01189	
																												MIR4310			LOC101927023		NLRP10								PSORS1C1						PLSCR4					CNTNAP3P2	
																												MIR4313			LOC101927059		NLRP14								PSORS1C2						PCNP					CBWD6	
																												MIR3713			LOC101927078		ANO9								PPP1R18						HRASLS					FLJ43315	
																												MIR3942			CTB-113P19.1		LUZP2								PTCRA						MRPL47					SPATA31C2	
																												INAFM2			LOC101927100		KRTAP5-AS1								TCTE1						SENP7					HRCT1	
																												RAD51-AS1			CTB-12O2.1		KCNQ1-AS1								KHDRBS2						ABHD6					SPATA31A1	
																												IQCH-AS1			LINC01470		OR5F1								TRIM39-RPP21						LRTM1					LRRC37A5P	
																												DPH6-AS1			LOC101927190		OR5AP2								TUBB						C3orf14					RPSAP9	
																												ST20-MTHFS			SEMA6A-AS1		B4GALNT4								C6orf163						KIAA1143					FOXD4L6	
																												SERF2-C15ORF63			HRAT56		CSTF3-AS1								CCDC162P						ISY1					FOXD4L5	
																												DYX1C1-CCPG1			LOC101927357		OR52L1								AK9						HHATL					FGF7P3	
																												MIR4512			LOC101927379		OR2AG2								NT5DC1						HEG1					MSMP	
																												MIR4514			LOC101927421		OR52B6								FAM26D						KIAA1257					SNORD90	
																												MIR4513			LOC101927460		OTOG								ZUFSP						ARHGAP31					MIR600	
																												MIR4509-1			LOC101927488		DCDC1								FAM162B						NCEH1					MIR601	
																												MIR4509-2			LOC101927697		MS4A10								TBC1D32						IFT80					SPATA31A3	
																												MIR4508			LOC101927740		OR10A2								BEND6						CCDC191					SPATA31A5	
																												MIR4510			TH2LCRR		OVCH2								GSTA5						WDR48					FAM74A3	
																												MIR4716			LOC101927766		PDDC1								OPN5						LRRN1					CNTNAP3B	
																												MIR4713			HMMR-AS1		RTN4RL2								ADGRF4						KIAA1524					LOC728673	
																												MIR4511			LOC101927835		GALNT18								ADGRF5						SLC7A14					ANKRD20A4	
																												MIR4712			LOC101927934		NCR3LG1								TDRD6						SRPRB					LOC730098	
																												MIR4715			C5orf66-AS1		DKFZp779M0652								SPATS1						SELK					FAM166B	
																												TMCO5B			LOC101928769		FAM111B								C6orf223						SENP2					CDKN2B-AS1	
																												MYZAP			LOC101928794		TMEM179B								RSPH9						GNB4					SNORD121A	
																												MIR5701-2			LOC101928858		MALAT1								LRRC73						BPESC1					SNORA84	
																												MIR5572			LOC101928885		ZFP91-CNTF								TREML5P						PROK2					SNORA70C	
																												MIR5701-1			LOC101928924		MRGPRG								ADCY10P1						EEFSEC					MIR876	
																												SNORD116-30			LINC01333		KRTAP5-1								OARD1						RNF123					MIR873	
																												SNORD115-46			LOC101929109		KRTAP5-3								KIF6						NSUN3					LOC100128076	
																												LOC100996255			LOC101929154		KRTAP5-4								TMEM217						CIDEC					LOC100128361	
																												POTEB			CTD-2201I18.1		SLC22A25								FGD2						CLSTN2					FAM225B	
																												LINC01314			LOC101929380		IFITM5								PI16						POPDC2					ASTN2-AS1	
																												RORA-AS2			MEF2C-AS1		FAM99A								C6orf89						RTP4					LINC00476	
																												GOLGA8R			LINC01339		OR56B1								ARMC12						MAGEF1					LOC100129034	
																												NPTN-IT1			LOC101929696		GVINP1								C6orf1						RBSN					UNQ6494	
																												LOC101927079			LOC101929710		INSC								LEMD2						KIF9					TOPORS-AS1	
																												LOC101928042			LOC101929719		FIBIN								ZBTB9						NFKBIZ					LOC100129316	
																												LOC101928134			AK6		C11orf96								ZBTB12						AZI2					LINC00484	
																												LOC101928174			MIR6499		SLC22A10								C6orf136						ZMAT3					IZUMO3	
																												LOC101928227			MIR6830		SPDYC								ZSCAN12P1						MTMR14					FAM205C	
																												EHD4-AS1			MIR6831		OR52K1								HS3ST5						ATG3					LOC100130548	
																												PLA2G4E-AS1			LOC102467212		OR52I1								GPRC6A						MRPS25					FAM27E3	
																												LOC101928414			LOC102467213		OR51D1								RFX6						CSRNP1					LOC100132077	
																												LINC01491			LOC102467214		OR52A5								SLC35F1						GORASP1					LOC100132249	
																												PIGBOS1			LOC102467216		OR51B6								FAM83B						MFSD1					FRG1HP	
																												LINC01413			LOC102467217		OR51M1								ADGRF2						CCDC14					GXYLT1P3	
																												LIPC-AS1			LOC102467223		OR51Q1								TSPO2						FNDC3B					LOC100132781	
																												LOC101928725			LOC102467224		OR51I1								UNC5CL						P2RY12					FAM27C	
																												RORA-AS1			LOC102467225		OR51I2								KCTD20						CDCP1					FAM95B1	
																												PWRN3			LOC102467226		OR52D1								PXT1						CCDC71					FAM27B	
																												GABRG3-AS1			LOC102467655		OR52H1								LHFPL5						NT5DC2					RNU6ATAC	
																												LOC101928907			LOC102477328		OR52N4								SCUBE3						SLC26A6					LINC00092	
																												LOC101928988			LOC102503427		OR52N5								ZSCAN23						TMEM108					LOC100272217	
																												LOC101929076			LINC01335		OR52N2								NKAPL						CRELD1					VPS13A-AS1	
																												LOC101929151			RASGRF2-AS1		OR52E6								TOB2P1						CAMKV					LOC100288842	
																												THSD4-AS2			LINC01338		OR52E8								VGLL2						TMEM43					SLC25A25-AS1	
																												THSD4-AS1			LOC102546226		OR52E4								DEFB110						OR5H6					FAM27E2	
																												C15orf59-AS1			LINC01340		OR56A3								DEFB112						OR5H2					FAM95C	
																												LOC101929439			LOC102546228		OR56A5								DEFB113						ZXDC					MIR1299	
																												LOC101929457			LOC102546229		OR10A6								DEFB114						ZBED2					MIR1302-8	
																												LINGO1-AS2			LOC102546294		ACCSL								LACE1						LRRC2					MIR1268A	
																												LOC101929586			LOC102546298		OR4X1								HCG27						FYCO1					MIR2278	
																												TMC3-AS1			LOC102723557		OR5D13								TMEM244						ATP13A3					MIR181A2HG	
																												LINC01583			LOC102724392		OR5D16								MMS22L						CEP97					MIR3074	
																												RNU6-7			LOC102724404		OR5W2								FAM26E						HSPBAP1					MIR3154	
																												MIR6085			CTD-2151A2.1		OR8H2								MCM9						C3orf52					MIR2861	
																												MIR6881			ADAMTS19-AS1		OR8H3								SCML4						VEPH1					MIR4291	
																												MIR6882			LINC01337		OR5T3								GPX6						QTRT2					MIR3153	
																												MIR7973-2			LINC01170		OR5T1								SHPRH						CCDC51					MIR4290	
																												MIR8067			LINC01331		OR8K1								NCR3						TBL1XR1					MIR4289	
																												MIR7973-1			LINC01202		OR5M9								LY6G6F						ZBBX					CCDC180	
																												MIR8063			LINC01336		OR5M10								MDGA1						ZNF385D					LOC100499484	
																												LINC01169			LINC01386		OR5M1								ADGRF1						LRRC31					MIR3910-1	
																												LOC102723344			LOC105377682		OR9G1								ZNF311						EFCC1					MIR3689A	
																												LOC102723481			LOC105379030		OR5AK2								LINC00326						NEK11					MIR3911	
																												LOC102723493			LOC105379054		OR5B2								PHACTR2-AS1						UBA5					MIR3927	
																												LOC102723640			LOC105379143		OR5B12								CEP57L1						HDAC11					MIR3910-2	
																												LOC102724034			LOC105379176		OR5AN1								PPIL6						MAP6D1					MIR3689B	
																												POTEB3			LOC105379183		OR4D10								LINC01268						PHC3					MIR3651	
																												LOC102725022			LOC105379192		OR4D9								FLJ34503						C3orf36					LOC100505478	
																												RNU6-2			LOC105379194		OR10V1								DCBLD1						ARL14					LOC100505588	
																												PWRN4			LINC01455		LRRC10B								LOC285762						THOC7					LOC100506100	
